episode,carbon_emissions,unmet_hours,ramping,1-load_factor,daily_peak,all_time_peak,1-thermal_resilience,normalized_unserved_energy,grid_only_score
1,1445.1512960956888,0.38392857142857145,3401.7521463064977,0.38616273211832186,82.24833057738923,91.01297881878145,0.02976190476190476,0.19055724552538525,0.0
2,1509.4309236427807,0.39880952380952384,4077.9338185302204,0.4322414017660321,90.72188681025227,97.92394444370169,0.02976190476190476,0.15290115979025284,0.0
3,1408.9401623740669,0.39880952380952384,3545.3604255026635,0.41539870986193106,84.56859388314658,90.36792035129605,0.01488095238095238,0.14831619685814854,0.0
4,1547.1872967003278,0.40773809523809523,3627.0441888033383,0.4093740906253015,85.01159561844739,96.80747534054143,0.05357142857142857,0.13953804137493186,0.0
5,1485.118105322143,0.4017857142857143,3694.615167595285,0.40804187885383925,88.48787861404867,96.46399584889372,0.03869047619047619,0.14392528649811728,0.0
6,1462.7377578721985,0.37202380952380953,3627.8080314968224,0.43857679345458067,88.6830353104358,95.437458690635,0.03869047619047619,0.18497941895084294,0.0
7,1494.1221543634429,0.3958333333333333,4144.580422017012,0.3995128273805736,84.9133560897902,91.8820022647291,0.026785714285714284,0.1767479560656602,0.0
8,1349.959385133046,0.3958333333333333,3938.436314898302,0.4487661382221766,83.66745050426867,91.35462126709888,0.05654761904761905,0.1498308875396024,0.0
9,1566.2056364670216,0.4255952380952381,3921.7787852378283,0.39869782116813435,89.34662321092871,97.04252325858057,0.03273809523809524,0.1460932709387295,0.0
10,1584.2447575154351,0.44642857142857145,3600.2603415856397,0.42515719656950834,90.05287947134956,98.72965080620732,0.03869047619047619,0.17364567358949026,0.0
